category,file,source_url,source_title,recommended_use,status
FP1,04_FP1/archangel_case4180_after.jpg,https://www.archangelimplants.com/gallery/upper-full-arch-all-on-6-fixed-screw-retained-hybrid-implant-prosthesis/,Archangel Case 4180 FP1 Full Zirconia,Clinical reference / FP1 visual,Candidate - source page has more views
Photogrammetry,05_Photogrammetry/Panthera_Shining3D_FullArch_Case.pdf,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,Digital Full-Arch Excellence Panthera Fusion Bar + Shining 3D Elite,Complete digital workflow reference,Complete workflow reference
Photogrammetry,05_Photogrammetry/renders/page-1.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Photogrammetry,05_Photogrammetry/renders/page-2.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Photogrammetry,05_Photogrammetry/renders/page-3.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Photogrammetry,05_Photogrammetry/renders/page-4.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Photogrammetry,05_Photogrammetry/renders/page-5.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Photogrammetry,05_Photogrammetry/renders/page-6.png,https://manuals.plus/m/73921097ac832a1b9f771efc23e9a9ea9d14ce5e3d644bb93a879f54119fae0a.pdf,PDF page render,Workflow selection,Complete
Zygomatic,06_Zygomatic_Complex/eazygoma_followup.png,https://link.springer.com/article/10.1007/s41894-024-00139-2,Eazygoma technique follow-up,Complex severe atrophy reference,Reference
Zygomatic,06_Zygomatic_Complex/quad_zygoma_planning.jpg,https://omnident.md/ro/clinical_cases/84/,Quad Zygoma virtual planning,Planning / complexity visual,Reference
Passive Fit,07_Passive_Fit_Problem_Solving/verification_jig_segmented.jpg,https://dmg-connect.com/articles/impression-technique-for-full-arch-screw-retained-prosthesis-written-by-celin-arce-dds-ms-facp/,Full-Arch Implant Verification Jig,Technical workflow / fit verification,Complete educational reference
Passive Fit,07_Passive_Fit_Problem_Solving/iti_verification_jig.jpg,https://blog.iti.org/clinical-insights/verification-jigs-the-key-to-an-accurate-fit-for-implant-supported-frameworks/,Verification Jigs - ITI,Technical workflow / passive-fit credibility,Complete educational reference
04_FP1,Digitally Guided Full-Arch Immediate Implant Rehabilitation with an FP1 Restoration,https://the-probe.co.uk/blog/2026/07/digitally-guided-full-arch-immediate-implant-rehabilitation-with-an-fp1-restoration/,SOURCE LOCKED - same-patient complete workflow; figures not yet extracted
06_Zygomatic_Complex,Complex Full-Arch Treatment with Zygomatic Implants Fully Digital Protocol,https://pmc.ncbi.nlm.nih.gov/articles/PMC11084758/,SOURCE LOCKED - same-patient complete workflow; open-access CC BY; figures not yet extracted
