folder,file,source,source_url,recommended_use
01_Dual_Arch_All_on_5,01_preop.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Preoperative
01_Dual_Arch_All_on_5,02_lower_mua.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Lower MUA
01_Dual_Arch_All_on_5,03_upper_mua.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Upper MUA
01_Dual_Arch_All_on_5,04_upper_verification_jig.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Verification jig
01_Dual_Arch_All_on_5,05_pmma_lab.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,PMMA lab
01_Dual_Arch_All_on_5,06_pmma_intraoral.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,PMMA intraoral
01_Dual_Arch_All_on_5,07_final_occlusal.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Final occlusal
01_Dual_Arch_All_on_5,08_final_intraoral.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Final intraoral
01_Dual_Arch_All_on_5,09_final_smile.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,Final smile
02_Zirconia_Titanium_Bar,01_final_full_arch.webp,GIE Dental Lab,https://www.giedentallab.com/implant-all-on-x,Final full arch
02_Zirconia_Titanium_Bar,02_mua_model.webp,GIE Dental Lab,https://www.giedentallab.com/implant-all-on-x,MUA/model
02_Zirconia_Titanium_Bar,03_raw_zirconia.webp,GIE Dental Lab,https://www.giedentallab.com/implant-all-on-x,Raw zirconia
02_Zirconia_Titanium_Bar,04_zirconia_titanium_bar.jpg,Wanmei Dental Lab,https://pl.wmdentallab.com/cad-cam-titanium-implant-bar,Zirconia over bar
02_Zirconia_Titanium_Bar,05_vanguard_titanium_bridge.jpg,Vanguard,https://vanguardcal.com/assets/images/products/full-arch-implant-prostheses/vanguard-hybrid-titanium-bridge/1.jpg,Titanium hybrid reference
03_Immediate_PMMA,01_pmmasystem.webp,OnePro Dental,https://oneprodental.com/products/monolayer-pmma-disc-120mpa-temporary-crowns,PMMA fabrication reference
03_Immediate_PMMA,02_immediate_tibase.webp,Nexus iOS,https://www.nexusios.com/knowledge-base-immediate-prosthetics,Immediate Ti-base provisional
03_Immediate_PMMA,03_pmma_lab.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,PMMA lab
03_Immediate_PMMA,04_pmma_intraoral.webp,Implant Dentistry Toronto,https://www.implantdentistrytoronto.ca/cases-gallery/all-on-x-full-arch-dental-implants,PMMA clinical
04_FP1,01_fp1_bridge.webp,Meerhof Dental Center,https://meerhofdk.ee/fp1-class-implantation/,FP1 bridge
04_FP1,02_fp1_teeth_only.jpeg,Portland Perio Implant Center,https://portlandperioimplantcenter.com/fp1-prosthesis/,FP1 teeth-only
05_Photogrammetry,01_intraoral_markers.png,Dentistry Today,https://www.dentistrytoday.com/intraoral-photogrammetry-the-next-step-in-full-arch-implant-precision/,Photogrammetry markers
05_Photogrammetry,02_photo_workflow.webp,Dental Valution,https://dentalvalution.com.au/blogs/news/photogrammetry-in-dentistry-transforming-treatment-planning-and-outcomes,Photogrammetry workflow
05_Photogrammetry,03_exocad_workflow.webp,Atlantic Implant Institute,https://shop.theatlanticimplantinstitute.com/products/full-arch-exocad-bootcamp,Exocad workflow
06_Complex_Zygomatic,01_case_overview.jpg,Smiles by Specialists,https://smilesbyspecialistsnj.com/photo-gallery/,Zygomatic overview
06_Complex_Zygomatic,02_smile_before_after.jpg,Smiles by Specialists,https://smilesbyspecialistsnj.com/photo-gallery/,Smile before/after
06_Complex_Zygomatic,03_intraoral_before_after.jpg,Smiles by Specialists,https://smilesbyspecialistsnj.com/photo-gallery/,Intraoral before/after
06_Complex_Zygomatic,04_zygomatic_xray.jpg,Smiles by Specialists,https://smilesbyspecialistsnj.com/photo-gallery/,Zygomatic radiograph
